TIC_ID,Start_Time (TBJD),End_Time (TBJD),Sigma,Time_Extension (days),Best_Model_ID,Best_Model_Name,Best_Model_BIC,Power_Law_Index,rchi2_M0,rchi2_M1,rchi2_M2,Period (s),Err_P,Error_P (s),BIC_M2_M1,BIC_M0_M1,T_eff (K),Amplitude,Flare_energy (erg),ED (s),Duration (days),Duration (mins),Prot (d)
231914259,2071.283587,2071.301527,3,0.010763969,1,pow_const_gauss,-138.234589,5.39634774,1.175639047,0.581039431,1.242690375,45.19273728,0.22,9.942402202,17.86723067,10.63611974,,0.040221302,,1113.569714,0.007175979,10.33340976,1.43
355766445,2070.211398,2070.227139,0,0,1,pow_const_gauss,-148.2692726,3.488967419,2.178361775,0.597635729,2.297307559,51.26799237,0.05,2.563399619,17.228738,10.63081349,3524,0.069854386,6.61E+30,5020.54837,0.015740808,22.66676352,3.7
358176584,2067.427519,2067.434116,1,0.002199035,1,pow_const_gauss,-62.61432098,4.213297877,1.925939019,0.675115859,1.862127509,59.2396819,0.09,5.331571371,18.06517541,16.98651433,3670,0.092504717,6.49E+29,2027.886386,0.00439807,6.3332208,0.9
425933644,2097.667076,2097.677724,2,0.005323984,1,pow_const_gauss,-143.0127576,3.513104808,0.95704124,0.50047863,0.939577502,80.24934805,0.368,29.53176008,7.525481675,12.27059747,3264,0.087741374,5.03E+29,2662.315536,0.005323984,7.66653696,0.5
294750180,2140.849793,2140.869468,3,0.011805393,1,pow_const_gauss,-226.6162802,4.513394799,1.517543912,0.700927524,1.594195777,100.3226574,0.101,10.1325884,17.27420194,10.14706974,3590,0.035955,,3752.412,0.00787,11.3328,0.52
382258517,2118.282592,2118.29544,1,0.004282501,1,pow_const_gauss,-105.6845975,3.068596265,1.466098205,0.595747913,1.601992649,45.99348058,0.217,9.980585286,22.75251666,17.35497384,,0.042978487,,6197.519796,0.008565001,12.33360144,3.12
220433364,2165.124807,2165.164159,2,0.019675873,1,pow_const_gauss,-953.0063008,3.652865432,1.707203278,1.053745771,1.712079404,58.98689121,0.05,2.949344561,32.07338858,25.09090771,3268,0.13489696,4.07E+30,12211.69296,0.019675873,28.33325712,0.85
220433364,2166.070869,2166.105822,0,0,1,pow_const_gauss,-580.1125704,2.203154252,1.238562652,0.50671601,1.095929105,73.20971864,0.067,4.905051149,12.71921134,10.543015,3268,0.049418596,5.33E+30,7274.440959,0.034953585,50.3331624,0.85
213105608,2193.105596,2193.113697,3,0.004861084,1,pow_const_gauss,-38.71072575,3.385146598,1.811837172,0.376938922,2.08994335,58.42016308,0.079,4.615192883,21.09716036,15.44096801,3989,0.00969069,2.15E+33,315.975246,0.003240723,4.66664112,10.51
238194430,2178.105306,2178.113987,3,0.005208219,1,pow_const_gauss,-78.37761155,3.760755524,1.401924908,0.628064236,1.546465021,51.58132807,0.122,6.292922025,15.61384695,11.70291708,3242,0.154343362,1.65E+29,2235.276559,0.003472146,4.99989024,0.7
24518895,2198.799707,2198.805725,0,0,1,pow_const_gauss,-62.87625644,5.284582613,1.716721814,0.805947434,2.144352994,56.05823638,0.079,4.428600674,19.98756342,17.55796487,3425,0.384969191,3.42E+30,11262.79903,0.006018442,8.66655648,4.38
364588501,2180.440035,2180.446517,2,0.00324071,1,pow_const_gauss,-28.12300918,4.391569226,1.802381473,0.438131809,2.230406362,59.57944746,0.17,10.12850607,15.55495337,10.56385161,5605,0.035721328,1.33E+31,1729.457109,0.00324071,4.6666224,2.3
427346731,2194.405017,2194.416128,2,0.005555579,1,pow_const_gauss,-132.4484739,3.541398764,2.354191849,0.594372018,1.465708853,85.93213509,0.05,4.296606755,15.96344678,12.70739891,3438,0.059372634,9.74E+29,2522.410844,0.005555579,8.00003376,7.44
167551757,2227.328669,2227.335614,1,0.002314824,1,pow_const_gauss,-25.04330841,2.403447365,1.752376365,0.763967735,1.379741116,64.61753052,0.08,5.169402442,7.711377373,10.28950252,,0.022536182,,1289.364348,0.004629648,6.66669312,1.91
339668420,2221.134677,2221.187918,2,0.02662075,1,pow_const_gauss,-1213.092065,4.797199412,3.752345201,1.292669841,3.820025402,48.05062819,0.05,2.40253141,51.08822132,41.59955717,5395,0.089679911,3.86E+32,11593.92359,0.02662075,38.33388,4.53
348898049,2203.079285,2203.085767,0,0,1,pow_const_gauss,-20.02562671,6,1.348489148,0.850082846,1.13625766,89.46725416,0.224,20.04066493,8.868561736,13.39794631,5225.910156,0.056612442,5.10E+30,1035.540577,0.006481573,9.33346512,1
33878971,2259.762276,2259.771304,1,0.003009268,1,pow_const_gauss,-50.64798911,3.809940643,1.233149326,0.725550294,1.453090296,43.38651014,0.25,10.84662754,18.23820205,13.14251818,3117,0.08303143,1.81E+29,2650.159712,0.006018536,8.66669184,11.02
