TIC_ID,T_eff,Start_time,End_time,Peak_time(BJD),Amplitude,Duration(days),Flare_energy(erg),ED(s)
2760232,,1359.787299,1359.797021,2458359.79,0.136735966,0.009722423,,15360.78712
2760232,,1360.655372,1360.669261,2458360.658,0.019713414,0.01388916,,3219.600946
2760232,,1368.773554,1368.790221,2458368.775,0.056891876,0.016666812,,17927.07742
2760232,,1368.773554,1368.787443,2458368.776,0.086679733,0.01388901,,16503.16288
2760232,,1368.773554,1368.786054,2458368.778,0.10789634,0.012500109,,15473.63317
2760232,,1372.5444,1372.570789,2458372.546,0.017895042,0.026388884,,17619.61864
2760232,,1374.60273,1374.61523,2458374.604,0.073197303,0.012499959,,14807.20822
2760710,3176,1363.052626,1363.058182,2458363.054,0.048430981,0.005555647,7.30E+28,1822.104333
2761086,5588.700195,1375.60693,1375.611096,2458375.608,0.005179784,0.004166653,2.50E+31,1235.475669
2761472,3041,1358.515068,1358.60396,2458358.526,0.28698643,0.08889118,2.64E+31,70910.49111
2761472,3041,1358.312285,1358.326175,2458358.314,0.142629972,0.013889252,2.07E+29,3030.841475
2836713,6163.22998,1370.201336,1370.205503,2458370.203,0.001504229,0.004166688,3.91E+31,916.6748254
5632334,5866,1360.362545,1360.372267,2458360.364,0.000972342,0.009722281,3.83E+31,469.2021606
5632334,5866,1360.366712,1360.372267,2458360.368,0.001321034,0.005555589,1.35E+31,349.5119178
5633483,5164.959961,1354.994427,1354.998594,2458354.996,0.00097492,0.004166727,2.21E+31,743.5561555
5640393,,1358.629181,1358.637515,2458358.631,0.080074535,0.0083334,,2240.937414
5640393,,1360.255581,1360.286137,2458360.258,0.103342984,0.030555732,,42930.46058
5656117,3341,1369.544476,1369.550031,2458369.546,0.050434712,0.005555506,2.56E+29,1180.208742
5656273,3815,1358.113895,1358.201395,2458358.117,0.018039608,0.087500862,1.78E+32,14128.0029
5656273,3815,1381.024846,1381.040123,2458381.026,0.017402588,0.01527745,5.62E+30,2643.985658
5656273,3815,1379.612376,1379.627654,2458379.615,0.006379015,0.015277445,2.65E+30,556.2538433
5656273,3815,1360.561137,1360.577804,2458360.567,0.007098799,0.016666777,2.49E+30,471.8346993
5656273,3815,1367.129215,1367.137549,2458367.131,0.016813677,0.008333352,1.29E+30,990.017589
5656273,3815,1354.704129,1354.709685,2458354.706,0.043367062,0.005555647,1.09E+30,1664.177166
5656273,3815,1363.162539,1363.172261,2458363.165,0.003357067,0.009722258,8.33E+29,238.6065464
5656273,3815,1365.354212,1365.359767,2458365.356,0.006573319,0.005555567,3.01E+29,191.2463966
5676537,4515,1379.435969,1379.462357,2458379.44,0.001139632,0.026388303,1.93E+31,408.4326189
5676537,4515,1379.435969,1379.455413,2458379.442,0.003993709,0.019444013,1.07E+31,360.1716516
5676537,4515,1380.172064,1380.192897,2458380.178,0.001237866,0.020832869,9.21E+30,48.70847029
5676537,4515,1371.509724,1371.516669,2458371.511,0.014058252,0.006944355,2.29E+30,597.7972812
5724548,5309,1363.652774,1363.749996,2458363.654,0.006589174,0.097222439,4.22E+33,51139.33727
5724548,5309,1363.652774,1363.749996,2458363.656,0.007734241,0.097222439,4.22E+33,51139.33727
5725904,3124,1365.058405,1365.06396,2458365.06,0.643690006,0.005555586,3.34E+29,12180.23522
5725904,3124,1356.691655,1356.702767,2458356.693,0.067277562,0.011111283,1.82E+29,2573.762131
5727198,5837.299805,1356.393004,1356.491616,2458356.399,0.010399619,0.098612377,1.80E+34,104154.9405
5727198,5837.299805,1356.393004,1356.491616,2458356.397,0.009905245,0.098612377,1.80E+34,104154.9405
5727198,5837.299805,1356.393004,1356.491616,2458356.4,0.010633123,0.098612377,1.80E+34,104154.9405
5727198,5837.299805,1356.393004,1356.488839,2458356.401,0.010708337,0.095834564,1.72E+34,102369.9394
5727198,5837.299805,1356.393004,1356.48745,2458356.403,0.012156824,0.094445657,1.68E+34,101480.9728
5727198,5837.299805,1356.393004,1356.48745,2458356.404,0.014303118,0.094445657,1.68E+34,101480.9728
5727198,5837.299805,1356.406893,1356.434671,2458356.408,0.014410519,0.027778135,1.54E+33,31749.07051
5727198,5837.299805,1356.406893,1356.430505,2458356.41,0.016446834,0.023611415,1.13E+33,27358.50955
5727213,,1356.822179,1356.851346,2458356.824,0.029859679,0.029167019,,8724.149021
5727213,,1364.973623,1364.994456,2458364.975,0.311257141,0.020833383,,43836.21942
5727213,,1373.873568,1373.911068,2458373.878,0.044761226,0.037499418,,10128.21774
5727213,,1373.873568,1373.897179,2458373.879,0.106180507,0.023610745,,7923.268011
5740409,5257,1366.408346,1366.415291,2458366.41,0.005159597,0.006944464,1.78E+31,1813.159228
5796048,3621,1364.233389,1364.286167,2458364.236,0.130315639,0.05277817,1.15E+32,29016.43768
5796048,3621,1364.233389,1364.263944,2458364.238,0.212838248,0.030555783,4.63E+31,20784.60845
5796048,3621,1364.233389,1364.255611,2458364.239,0.28070566,0.022222388,2.67E+31,16731.65308
5796048,3621,1370.919518,1370.929241,2458370.921,0.043508481,0.009722159,1.40E+30,1469.023683
5796211,,1377.034715,1377.06527,2458377.036,0.052018824,0.030555077,,25691.96915
5796211,,1377.034715,1377.048604,2458377.037,0.145375458,0.013888672,,17162.18089
5796211,,1377.034715,1377.047215,2458377.039,0.175501352,0.012499804,,15879.14492
7128700,4409,1375.651295,1375.65685,2458375.653,0.001403801,0.005555474,7.44E+32,358.9106362
7143630,4348.399902,1370.986018,1370.990185,2458370.987,0.003101117,0.004166625,6.50E+29,1047.002219
7150142,,1365.880517,1365.886073,2458365.882,0.001978726,0.005555556,,1121.180939
7151484,3403,1355.66239,1355.690169,2458355.667,0.011173304,0.027778075,8.02E+30,7674.15122
7151484,3403,1358.726306,1358.751307,2458358.732,0.014099466,0.025000174,7.16E+30,8007.980008
7151484,3403,1366.984661,1366.999939,2458366.987,0.019228071,0.015277766,2.84E+30,5291.025345
7151484,3403,1358.581861,1358.591583,2458358.585,0.026688256,0.009722291,1.75E+30,5724.177801
7151484,3403,1375.201266,1375.210988,2458375.204,0.02239511,0.009722096,1.27E+30,3854.350641
7151484,3403,1378.048447,1378.052613,2458378.05,0.064358467,0.0041666,5.75E+29,4892.158065
8964552,5398,1381.25139,1381.323612,2458381.254,0.006546105,0.072221688,1.98E+33,23714.67345
8990964,5181,1374.569517,1374.61535,2458374.574,0.008696265,0.045833297,6.23E+32,22409.53006
8990964,5181,1374.57785,1374.61535,2458374.581,0.007932363,0.037499971,4.43E+32,19767.59866
8990964,5181,1374.584794,1374.61535,2458374.588,0.008548381,0.030555531,3.04E+32,16818.68552
8990964,5181,1374.584794,1374.598683,2458374.589,0.009548942,0.013888878,6.12E+31,7351.964653
8991030,,1362.569381,1362.580492,2458362.572,0.039409761,0.011111336,,3186.439965
8991030,,1373.34313,1373.348685,2458373.345,0.181683344,0.005555563,,6685.655198
8991030,,1376.191739,1376.218127,2458376.195,0.040394489,0.026388815,,10131.31501
8991030,,1376.191739,1376.216738,2458376.196,0.049640126,0.02499993,,9861.557191
9003103,,1364.606911,1364.619411,2458364.61,0.001503963,0.01250024,,454.2629211
9031522,5336,1363.931888,1363.936054,2458363.933,0.01179359,0.004166752,4.55E+30,630.2842496
9053429,31000,1354.434409,1354.502467,2458354.44,0.815555443,0.068057964,1.03E+34,85320.79066
9053429,31000,1354.434409,1354.502467,2458354.439,0.691208813,0.068057964,1.03E+34,85320.79066
9053429,31000,1354.434409,1354.502467,2458354.437,0.646429737,0.068057964,1.03E+34,85320.79066
9053429,31000,1354.434409,1354.502467,2458354.436,0.605311405,0.068057964,1.03E+34,85320.79066
9053429,31000,1354.434409,1354.501078,2458354.441,0.928457849,0.066669026,9.98E+33,84615.03235
9053429,31000,1354.434409,1354.501078,2458354.443,0.937441674,0.066669026,9.98E+33,84615.03235
9053429,31000,1354.434409,1354.501078,2458354.444,1.037737149,0.066669026,9.98E+33,84615.03235
9053429,31000,1354.44552,1354.4983,2458354.447,1.171347912,0.052779645,7.05E+33,76056.20916
9053429,31000,1354.44552,1354.4983,2458354.448,1.316963087,0.052779645,7.05E+33,76056.20916
9053429,31000,1354.449687,1354.496911,2458354.455,1.759204304,0.047223893,5.88E+33,70880.07819
9053429,31000,1354.449687,1354.496911,2458354.452,1.637793072,0.047223893,5.88E+33,70880.07819
9053429,31000,1354.449687,1354.496911,2458354.454,1.668160274,0.047223893,5.88E+33,70880.07819
9053429,31000,1354.449687,1354.495522,2458354.458,1.837277503,0.045834954,5.59E+33,69244.49419
9053429,31000,1354.449687,1354.495522,2458354.457,1.811931856,0.045834954,5.59E+33,69244.49419
9053429,31000,1354.449687,1354.494133,2458354.461,2.094220711,0.044446017,5.29E+33,67571.61439
9053429,31000,1354.449687,1354.494133,2458354.459,1.909152792,0.044446017,5.29E+33,67571.61439
9053492,3487,1363.223528,1363.244362,2458363.225,0.010355564,0.020833751,4.36E+30,5861.741412
9053560,4710,1375.448654,1375.455599,2458375.45,0.002182656,0.006944434,5.37E+33,1048.825511
9063369,5110,1365.820799,1365.824966,2458365.822,0.005576107,0.004166749,1.86E+31,820.2540357
9072094,3252,1373.297036,1373.305369,2458373.3,0.07988812,0.008333212,,2227.892142
9072094,3252,1379.283038,1379.289982,2458379.284,0.237157249,0.006944297,,8606.118672
9097661,6585,1377.01116,1377.015326,2458377.013,0.001172373,0.00416666,3.00E+31,782.1982862
9102812,6013,1354.587293,1354.602571,2458354.591,0.001155054,0.015278051,8.89E+31,155.816277
9143444,,1354.795664,1354.79983,2458354.797,0.174961673,0.004166753,,769.1071612
9163481,6270,1370.059536,1370.063702,2458370.061,0.002964008,0.004166634,6.55E+31,863.910522
9210746,3406,1373.870708,1373.945707,2458373.873,0.010768321,0.074999192,1.77E+32,43907.8232
9210746,3406,1373.870708,1373.919318,2458373.875,0.022122981,0.048610588,9.91E+31,39611.99939
9210746,3406,1373.870708,1373.890152,2458373.876,0.093789428,0.019444236,2.52E+31,26880.6412
9210746,3406,1360.876242,1360.909576,2458360.878,0.009527473,0.03333369,2.08E+31,10689.40876
9210746,3406,1380.591442,1380.609498,2458380.596,0.02632897,0.018055249,7.27E+30,7321.683439
9210746,3406,1360.876242,1360.892909,2458360.879,0.024571637,0.016666845,6.92E+30,7753.790672
9210746,3406,1376.237345,1376.2554,2458376.242,0.004743888,0.018055305,2.43E+30,1393.767311
9210746,3406,1366.480453,1366.486008,2458366.482,0.015525361,0.005555591,4.60E+29,1392.161267
9665418,3679,1366.26801,1366.283289,2458366.272,0.006783317,0.015278119,3.94E+34,2735.436456
9666504,4647.240234,1361.379002,1361.390114,2458361.38,0.001584784,0.011111386,2.42E+33,2027.107436
9666504,4647.240234,1361.379002,1361.390114,2458361.382,0.002013964,0.011111386,2.42E+33,2027.107436
9666504,4647.240234,1366.401336,1366.406892,2458366.403,0.001115791,0.005555674,2.84E+32,683.776432
9697711,3231,1361.13455,1361.138716,2458361.136,0.007928224,0.004166773,8.47E+28,1478.18246
9697850,3492,1354.327394,1354.338505,2458354.329,0.028880951,0.011111549,1.79E+30,4994.339382
9708387,5841,1376.761127,1376.823627,2458376.764,0.002785405,0.062499955,2.71E+33,8701.633976
9708387,5841,1376.761127,1376.804183,2458376.765,0.003542257,0.043055525,1.51E+33,7740.973805
9708387,5841,1376.766683,1376.793072,2458376.768,0.004097578,0.02638887,7.05E+32,6479.858729
9708387,5841,1376.766683,1376.791683,2458376.769,0.00635632,0.024999982,6.46E+32,6292.852735
9708387,5841,1376.766683,1376.786127,2458376.771,0.011727442,0.019444431,4.18E+32,5301.775283
9708387,5841,1366.988826,1367.002715,2458366.992,0.01508719,0.013889184,2.61E+32,4961.573316
9710000,3308,1370.712516,1370.727794,2458370.714,0.02676274,0.015277953,1.29E+30,4483.846802
9710000,3308,1370.712516,1370.727794,2458370.715,0.028976984,0.015277953,1.29E+30,4483.846802
9710105,4629,1366.416603,1366.420769,2458366.418,0.002633946,0.004166763,1.20E+33,1639.500913
9756496,4752,1354.16624,1354.188463,2458354.168,0.00794847,0.022223128,8.64E+31,7303.733503
9758483,6205,1366.374902,1366.379069,2458366.376,0.002089428,0.004166757,1.42E+31,925.0097375
12359032,5471,1377.150827,1377.181382,2458377.154,0.020184959,0.030555252,4.58E+32,12245.10625
12359032,5471,1377.150827,1377.177215,2458377.156,0.038516467,0.026388627,3.59E+32,11080.8001
12359032,5471,1377.150827,1377.177215,2458377.155,0.029418874,0.026388627,3.59E+32,11080.8001
12359032,5471,1377.150827,1377.174438,2458377.158,0.039607885,0.023610876,2.92E+32,10092.73998
12359032,5471,1370.049474,1370.068919,2458370.054,0.020333939,0.019444452,1.38E+32,5333.170235
12359032,5471,1356.33126,1356.353483,2458356.337,0.016020751,0.022222672,1.28E+32,3712.421824
12359032,5471,1357.645174,1357.670175,2458357.651,0.007777948,0.025000455,1.17E+32,2858.665781
12359032,5471,1357.645174,1357.668786,2458357.652,0.015356401,0.023611541,1.08E+32,2817.475234
12359032,5471,1358.424355,1358.4438,2458358.43,0.012634975,0.019444778,9.70E+31,3303.584139
12359032,5471,1372.528637,1372.541137,2458372.531,0.0171041,0.012499953,4.99E+31,2875.053379
12359032,5471,1358.432688,1358.441022,2458358.435,0.018009995,0.008333476,2.23E+31,2025.503064
12359032,5471,1358.432688,1358.441022,2458358.434,0.017675819,0.008333476,2.23E+31,2025.503064
12359032,5471,1357.653508,1357.660453,2458357.655,0.016516832,0.006944571,1.38E+31,1444.101028
12359079,6208,1376.573048,1376.591103,2458376.574,0.015708313,0.018055398,2.03E+32,3624.497862
12359079,6208,1376.573048,1376.585548,2458376.576,0.023510126,0.012499891,1.02E+32,2678.611552
12377591,5616.870117,1362.117493,1362.12166,2458362.119,0.000782097,0.004166726,1.24E+31,817.4980544
12377873,,1377.263319,1377.288319,2458377.265,0.013768797,0.024999773,,1194.349621
12377873,,1377.271652,1377.275819,2458377.273,0.017859174,0.004166629,,299.8754986
12377900,4877,1368.609184,1368.61474,2458368.611,0.012717571,0.005555587,2.45E+30,613.7908782
12378562,5760.899902,1380.713473,1380.71764,2458380.715,0.00178109,0.004166632,7.56E+30,770.2303659
12393800,5571,1357.974323,1358.034047,2458357.978,0.008293216,0.059723361,1.43E+33,5864.002876
12393800,5571,1357.974323,1358.018769,2458357.981,0.013449715,0.044445293,9.56E+32,5864.002876
12393800,5571,1357.984046,1358.007657,2458357.985,0.014965177,0.023611562,3.61E+32,4677.958166
12393800,5571,1357.984046,1358.002102,2458357.987,0.016602876,0.0180559,2.23E+32,3831.414128
12393800,5571,1357.984046,1358.000713,2458357.988,0.020905259,0.016666985,1.93E+32,3610.66495
12393800,5571,1381.206343,1381.225787,2458381.211,0.010829709,0.019444232,1.67E+32,2099.180552
12393800,5571,1357.989601,1357.995157,2458357.991,0.023597465,0.005555661,2.41E+31,1413.520639
12418191,5640,1365.13413,1365.217465,2458365.136,0.490591035,0.083334273,9.76E+33,112525.7323
12418191,5640,1365.13413,1365.217465,2458365.137,0.494184804,0.083334273,9.76E+33,112525.7323
12418191,5640,1365.13413,1365.217465,2458365.138,0.511819735,0.083334273,9.76E+33,112525.7323
12418191,5640,1365.13413,1365.216076,2458365.14,0.526129235,0.081945368,9.49E+33,111253.6057
